bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
MA010120220805261306,면곡뼈다귀감자탕,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215760,중곡3동,1121510100,중곡동,1.12151E+18,1,대지,565,10,서울특별시 광진구 중곡동 565-10,1.12153E+11,서울특별시 광진구 답십리로,370,1,1.12151E+24,,서울특별시 광진구 답십리로 370-1,143909,4902,,1,,127.08167201,37.571419989
MA010120220805235777,푸드몽,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,39,30,서울특별시 광진구 중곡동 39-30,1.12154E+11,서울특별시 광진구 능동로48길,34,,1.12151E+24,,서울특별시 광진구 능동로48길 34,143885,4937,,1,,127.08432178,37.562218961
MA010120220805251275,할머니쌈밥,광진점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215830,자양2동,1121510500,자양동,1.12151E+18,1,대지,647,4,서울특별시 광진구 자양동 647-4,1.12154E+11,서울특별시 광진구 뚝섬로52라길,38,,1.12151E+24,,서울특별시 광진구 뚝섬로52라길 38,143872,5101,,1,,127.08070966,37.529280965
MA010120220805257362,미가닭도리,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215850,구의1동,1121510300,구의동,1.12151E+18,1,대지,246,2,서울특별시 광진구 구의동 246-2,1.12154E+11,서울특별시 광진구 자양로18길,42,,1.12151E+24,,서울특별시 광진구 자양로18길 42,143825,5044,,1,,127.08577652,37.537827891
MA010120220805251711,맛깔식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,150,152,서울특별시 광진구 중곡동 150-152,1.12154E+11,서울특별시 광진구 긴고랑로29길,48,,1.12151E+24,,서울특별시 광진구 긴고랑로29길 48,143896,4935,,1,,127.08652868,37.562064194
MA010120220805273666,제부도,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,11,서울특별시,11215,광진구,11215740,중곡1동,1121510100,중곡동,1.12151E+18,1,대지,239,83,서울특별시 광진구 중곡동 239-83,1.12153E+11,서울특별시 광진구 긴고랑로,21,,1.12151E+24,,서울특별시 광진구 긴고랑로 21,143903,4912,,1,,127.07890181,37.563664301
MA010120220805247785,다원보쌈칼국수,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,581,,서울특별시 광진구 광장동 581,1.12153E+11,서울특별시 광진구 광나루로,595,,1.12151E+24,광장자이아파트,서울특별시 광진구 광나루로 595,143210,4984,,지,,127.09504939,37.54267718
MA010120220805242987,이신돈해물삼합,전문점,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,44,13,서울특별시 광진구 화양동 44-13,1.12154E+11,서울특별시 광진구 동일로24길,18,1,1.12151E+24,,서울특별시 광진구 동일로24길 18-1,143917,5020,,1,,127.06619603,37.543715008
MA010120220805244071,강릉엄지네꼬막집,구의역점,I2,음식,I201,한식,I20112,해산물 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215850,구의1동,1121510300,구의동,1.12151E+18,1,대지,246,14,서울특별시 광진구 구의동 246-14,1.12153E+11,서울특별시 광진구 아차산로,375,,1.12151E+24,크레신타워3차,서울특별시 광진구 아차산로 375,143716,5044,,2,,127.08437262,37.537045032
MA010120220805219534,서북면옥,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,80,47,서울특별시 광진구 구의동 80-47,1.12153E+11,서울특별시 광진구 자양로,199,1,1.12151E+24,,서울특별시 광진구 자양로 199-1,143819,4991,,1,,127.08533258,37.545414628
MA010120220805316957,밍지황먼지찜닭,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,33,34,서울특별시 광진구 화양동 33-34,1.12154E+11,서울특별시 광진구 능동로13길,75,,1.12151E+24,,서울특별시 광진구 능동로13길 75,143916,5015,,1,,127.06889021,37.544884766
MA010120220805307360,남스키친,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,113,1,서울특별시 광진구 화양동 113-1,1.12154E+11,서울특별시 광진구 능동로19길,35,,1.12151E+24,광진코지웰,서울특별시 광진구 능동로19길 35,143915,5009,,2,,127.07177777,37.547018414
MA010120220805287463,한남동그때그집,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215770,중곡4동,1121510100,중곡동,1.12151E+18,1,대지,79,7,서울특별시 광진구 중곡동 79-7,1.12153E+11,서울특별시 광진구 영화사로,8,,1.12151E+24,,서울특별시 광진구 영화사로 8,143888,4949,,1,,127.08832383,37.558287689
MA010120220805330523,미예한식,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,631,1,서울특별시 광진구 구의동 631-1,1.12154E+11,서울특별시 광진구 광나루로56길,29,,1.12151E+24,현대프라임아파트,서울특별시 광진구 광나루로56길 29,143761,5119,,1,,127.09653566,37.536963636
